product_code,source_code,product_name,description,unit_measure,category_name,category_sort_order,listino_price,discount_rate,net_price,listino_type,has_listino_override
010343,010343,Basic INIEZIONE,Boiacca fluida da iniezione a base calce per consolidamento murature CE (EN 998-2),KG,1. MALTE PRECONFEZIONATE,1,0.44,0.0,0.44,STA,1
010333,010333,Basic INTONACO,Intonaco a base di calce idraulica naturale (su ordinazione),KG,1. MALTE PRECONFEZIONATE,1,0.38,0.0,0.38,NOSC,1
010340,010340,Basic INTONACO,Intonaco fibrato a base di calce idraulica naturale (su ordinazione),KG,1. MALTE PRECONFEZIONATE,1,0.38,0.0,0.38,NOSC,1
010338,010338,Basic MALTA M15,Malta da muratura a base calce classe M15 per intonaci armati collaboranti,KG,1. MALTE PRECONFEZIONATE,1,0.38,0.0,0.38,STA,1
010339,010339,Basic MALTA M15/F,Malta da muratura a base calce classe M15 grana fine per rinforzi strutturali a basso spessore,KG,1. MALTE PRECONFEZIONATE,1,0.38,0.0,0.38,STA,1
010341,010341,Basic MALTA M5,Malta per muratura cementizia classe M5 (su ordinazione),KG,1. MALTE PRECONFEZIONATE,1,0.38,0.0,0.38,NOSC,1
010396,010396,Basic MALTA R3,Malta cementizia antiritiro fibrorinforzata CE (R3 â€“ UNI EN 1504-3) (su ordinazione),KG,1. MALTE PRECONFEZIONATE,1,0.54,0.0,0.54,NOSC,1
010010,010010,Betonfix 200,Boiacca idraulica fluida per ancoraggio barre o tiranti d'acciaio,KG,1. MALTE PRECONFEZIONATE,1,1.24,0.0,1.24,STA,1
010166,010166,Betonfix 200 TH,Boiacca idraulica a consistenza GEL per fissaggio ancoraggi e connettori,KG,1. MALTE PRECONFEZIONATE,1,1.24,0.0,1.24,STA,1
010006,010006,Betonfix AQM GG,Malta bicomponente idraulica per rasature e regolarizzazioni abbinata a reti Kimitech,,1. MALTE PRECONFEZIONATE,1,1.8,0.0,1.8,STA,1
010065,010065,Betonfix CR,Malta antiritiro CE (R4 â€“ UNI EN 1504-3) per consolidamento strutturale,KG,1. MALTE PRECONFEZIONATE,1,0.95,0.0,0.95,STA,1
010045,010045,Betonfix FB,Malta antiritiro fibrorinforzata tixotropica CE (R4 â€“ UNI EN 1504-3),KG,1. MALTE PRECONFEZIONATE,1,0.81,0.0,0.81,STA,1
010065HCEVO,010065HCEVO,Betonfix HCR EVO - Betonfix HCR FORCE,Componente A polvere per sistema Betonfix HCR EVO,KG,1. MALTE PRECONFEZIONATE,1,1.79,0.0,1.79,STA,1
010065HCEVOTX,010065HCEVOTX,Betonfix HCR EVO - Betonfix HCR FORCE,Componente A polvere per sistema Betonfix HCR EVO TX (tixotropico),KG,1. MALTE PRECONFEZIONATE,1,1.79,0.0,1.79,NOSC,1
070071EVO,070071EVO,Betonfix HCR EVO - Betonfix HCR FORCE,"Fibre La Gramigna Gold 0,2x13 (Kimitech FMR) â€“ Componente B sistema Betonfix HCR EVO",KG,1. MALTE PRECONFEZIONATE,1,1.79,0.0,1.79,STA,1
070072,070072,Betonfix HCR EVO - Betonfix HCR FORCE,Fibre Dramix 3D 80/30 GGP â€“ Componente B sistema Betonfix HCR FORCE,KG,1. MALTE PRECONFEZIONATE,1,1.79,0.0,1.79,STA,1
060031,060031,Betonfix KIMIFER,Malta anticorrosiva per protezione ferri di armatura CE (UNI EN 1504-7),KG,1. MALTE PRECONFEZIONATE,1,6.1,0.0,6.1,STA,1
010037,010037,Betonfix MONOLITE N,Malta idraulica polimerica tixotropica fibrorinforzata 3 in 1 CE (R4 â€“ EN 1504-3),KG,1. MALTE PRECONFEZIONATE,1,0.95,0.0,0.95,STA,1
010068,010068,Betonfix R30 GG,"Malta CE (R1 â€“ EN 1504-3) granulometria max 1,2 mm â€“ Bianco (su ordinazione)",KG,1. MALTE PRECONFEZIONATE,1,0.96,0.0,0.96,NOSC,1
010076,010076,Betonfix R30 GG,"Malta CE (R1 â€“ EN 1504-3) granulometria max 1,2 mm â€“ Grigio (su ordinazione)",KG,1. MALTE PRECONFEZIONATE,1,0.96,0.0,0.96,NOSC,1
012084,012084,Kimistone BIOCIDA,Biocida per eliminazione microflora e muffe â€“ 5 lt,LT,10. PULITORI/PROTETTIVI PER FACCIATE,2,9.0,0.0,9.0,STA,1
012085,012085,Kimistone BIOCIDA,Biocida per eliminazione microflora e muffe â€“ 25 lt,LT,10. PULITORI/PROTETTIVI PER FACCIATE,2,9.0,0.0,9.0,STA,1
012090,012090,Kimistone IBASIL,Protettivo idrorepellente silossanico a base acquosa â€“ 5 lt (su ordinazione),LT,10. PULITORI/PROTETTIVI PER FACCIATE,2,12.95,0.0,12.95,NOSC,1
012095,012095,Kimistone IBASIL,Protettivo idrorepellente silossanico a base acquosa â€“ 25 lt (su ordinazione),LT,10. PULITORI/PROTETTIVI PER FACCIATE,2,12.95,0.0,12.95,NOSC,1
012080,012080,Kimistone IDROREP,Protettivo idrorepellente silossanico ad alta penetrazione â€“ 25 lt,LT,10. PULITORI/PROTETTIVI PER FACCIATE,2,13.25,0.0,13.25,STA,1
012081,012081,Kimistone IDROREP,Protettivo idrorepellente silossanico ad alta penetrazione â€“ 5 lt,LT,10. PULITORI/PROTETTIVI PER FACCIATE,2,13.25,0.0,13.25,STA,1
012074,012074,Kimistone K10,Consolidante protettivo a base copolimeri silossanici acrilati in solvente â€“ 5 lt,LT,10. PULITORI/PROTETTIVI PER FACCIATE,2,16.58,0.0,16.58,STA,1
012075,012075,Kimistone K10,Consolidante protettivo a base copolimeri silossanici acrilati in solvente â€“ 25 lt,LT,10. PULITORI/PROTETTIVI PER FACCIATE,2,16.58,0.0,16.58,STA,1
012069,012069,Kimistone K55,Consolidante protettivo a base esteri etilici e prepolimeri organici â€“ 5 lt (su ordinazione),LT,10. PULITORI/PROTETTIVI PER FACCIATE,2,41.9,0.0,41.9,NOSC,1
012070,012070,Kimistone K55,Consolidante protettivo a base esteri etilici e prepolimeri organici â€“ 25 lt (su ordinazione),LT,10. PULITORI/PROTETTIVI PER FACCIATE,2,41.9,0.0,41.9,NOSC,1
012062,012062,Kimistone KSF,Consolidante forte a base silicato di etile per materiali lapidei silicatici â€“ 5 lt,LT,10. PULITORI/PROTETTIVI PER FACCIATE,2,36.76,0.0,36.76,STA,1
012063,012063,Kimistone KSF,Consolidante forte a base silicato di etile per materiali lapidei silicatici â€“ 25 lt,LT,10. PULITORI/PROTETTIVI PER FACCIATE,2,36.76,0.0,36.76,STA,1
190198,190198,Kimisteel GLV,Tessuto armatura unidirezionale fibra acciaio galvanizzato 650 g/mq larghezza 30 cm,ML,11. PULTRUSI/TESSUTI DI ARMATURA,3,6.93,0.0,6.93,STA,1
190204,190204,Kimisteel GLV,Tessuto armatura unidirezionale fibra acciaio galvanizzato 650 g/mq larghezza 10 cm,ML,11. PULTRUSI/TESSUTI DI ARMATURA,3,6.93,0.0,6.93,STA,1
