sheet_name,voce_code,component_order,component_type,description,unit_measure,quantity,unit_price,total_price
Recupero edilizia moderna,RecMod_vc_9 - Ancoraggio di armature con malta cementizia,1,lavorazione,1 - Perforazione su cls anche armato o pietra naturale,,,,
Recupero edilizia moderna,RecMod_vc_9 - Ancoraggio di armature con malta cementizia,2,manodopera,Op. Qualificato (MO1003),h / m,0.800000,27.080000,21.664000
Recupero edilizia moderna,RecMod_vc_9 - Ancoraggio di armature con malta cementizia,3,manodopera,Op. Specializzato (MO1002),h / m,0.800000,29.220000,23.376000
Recupero edilizia moderna,RecMod_vc_9 - Ancoraggio di armature con malta cementizia,4,lavorazione,2 – Inghisaggio,,,,
Recupero edilizia moderna,RecMod_vc_9 - Ancoraggio di armature con malta cementizia,5,manodopera,Op. Qualificato (MO1003),h / m,0.300000,27.080000,8.124000
Recupero edilizia moderna,RecMod_vc_9 - Ancoraggio di armature con malta cementizia,6,manodopera,Op. Specializzato (MO1002),h / m,0.300000,29.220000,8.766000
Recupero edilizia moderna,RecMod_vc_9 - Ancoraggio di armature con malta cementizia,7,materiale,010166 - Betonfix 200 TH,Kg /m,0.050000,1.320000,0.066000
Recupero edilizia moderna,RecMod_vc_9 - Ancoraggio di armature con malta cementizia,8,noli e trasporti,Nolo attrezzature elettriche,h /m,0.000000,8.000000,0.000000
Recupero edilizia moderna,RecMod_vc_10.a - Ancoraggio di armature con resine in cartuccia,1,lavorazione,1 - Perforazione su cls anche armato o pietra naturale,,,,
Recupero edilizia moderna,RecMod_vc_10.a - Ancoraggio di armature con resine in cartuccia,2,manodopera,Op. Qualificato (MO1003),h / m,0.800000,27.080000,21.664000
Recupero edilizia moderna,RecMod_vc_10.a - Ancoraggio di armature con resine in cartuccia,3,manodopera,Op. Specializzato (MO1002),h / m,0.800000,29.220000,23.376000
Recupero edilizia moderna,RecMod_vc_10.a - Ancoraggio di armature con resine in cartuccia,4,lavorazione,2 – Inghisaggio,,,,
Recupero edilizia moderna,RecMod_vc_10.a - Ancoraggio di armature con resine in cartuccia,5,manodopera,Op. Qualificato (MO1003),h / m,0.300000,27.080000,8.124000
Recupero edilizia moderna,RecMod_vc_10.a - Ancoraggio di armature con resine in cartuccia,6,manodopera,Op. Specializzato (MO1002),h / m,0.300000,29.220000,8.766000
Recupero edilizia moderna,RecMod_vc_10.a - Ancoraggio di armature con resine in cartuccia,7,materiale,040300 - Kimitech F3,Kg /m,0.052400,18.020000,0.944248
Recupero edilizia moderna,RecMod_vc_10.a - Ancoraggio di armature con resine in cartuccia,8,noli e trasporti,Nolo attrezzature elettriche,h /m,0.000000,8.000000,0.000000
Recupero edilizia moderna,RecMod_vc_10.b - Ancoraggio di armature con resine in cartuccia,1,lavorazione,1 - Perforazione su cls anche armato o pietra naturale,,,,
Recupero edilizia moderna,RecMod_vc_10.b - Ancoraggio di armature con resine in cartuccia,2,manodopera,Op. Qualificato (MO1003),h / m,0.800000,27.080000,21.664000
Recupero edilizia moderna,RecMod_vc_10.b - Ancoraggio di armature con resine in cartuccia,3,manodopera,Op. Specializzato (MO1002),h / m,0.800000,29.220000,23.376000
