product_code,listino_type
010001,STA
010006,STA
010015,STA
010020,STA
010035,STA
010037,STA
010038,STA
010045,STA
010047,STA
010050,STA
010061,STA
010062,STA
010063,STA
010065,STA
010065HCEVO,STA
010070,STA
010085,STA
010101,STA
010123,STA
010126,STA
010134,STA
010135,STA
010163,STA
010262S,STA
010338,STA
010339,STA
010343,STA
010395,STA
010404,STA
010412,STA
010413,STA
010414,STA
010531,STA
010532,STA
010534,STA
010535,STA
010536,STA
010537,STA
010538,STA
012049,STA
012050,STA
012062,STA
012063,STA
012074,STA
012075,STA
012078,STA
012079,STA
012080,STA
012081,STA
012084,STA
012085,STA
020005,STA
020010,STA
020015,STA
020035,STA
020040,STA
020044,STA
020045,STA
020061,STA
020062,STA
020077,STA
020080,STA
020085,STA
020088,STA
020089,STA
020100,STA
020105,STA
030065,STA
040001,STA
040002,STA
040080,STA
040085,STA
040090,STA
040091,STA
040093,STA
040095,STA
040103,STA
040156,STA
040157,STA
040158,STA
040160,STA
040173,STA
040215,STA
040231,STA
040261,STA
040263,STA
040300,STA
040511,STA
040612,STA
050001,STA
050006,STA
050010,STA
050011,STA
050095,STA
050105,STA
050110,STA
050112,STA
050113,STA
050115,STA
050121,STA
050122,STA
050125,STA
050165,STA
050170,STA
050175,STA
050213,STA
050242,STA
050243,STA
050244,STA
050246,STA
050247,STA
050248,STA
050250,STA
050252,STA
050253,STA
050254,STA
050255,STA
050263,STA
050264,STA
050265,STA
050266,STA
050267,STA
050278,STA
050349,STA
050350,STA
050355,STA
050356,STA
050357,STA
050391,STA
050392,STA
050393,STA
050394,STA
050505,STA
050506,STA
050507,STA
050508,STA
050511,STA
060005,STA
060010,STA
060024,STA
060025,STA
060030,STA
060031,STA
070058,STA
070059,STA
070071EVO,STA
070072,STA
170025,STA
170043,STA
170045,STA
170050,STA
170115,STA
170130,STA
170131N,STA
170152,STA
180020,STA
180025,STA
180027,STA
180030,STA
180040,STA
180043,STA
180044,STA
180061,STA
180071,STA
180078,STA
180079,STA
180080,STA
190005,STA
190010,STA
190011,STA
190012,STA
190013,STA
190014,STA
190017,STA
190026,STA
190028,STA
190030,STA
190032,STA
190034,STA
190042,STA
190044,STA
190061,STA
190067,STA
190081,STA
190097,STA
190109,STA
190117,STA
190122,STA
190124,STA
190127,STA
190170,STA
190198,STA
190204,STA
190239,STA
190250,STA
190251,STA
190253,STA
190254,STA
190255,STA
190256,STA
190258,STA
190260,STA
190261,STA
190286,STA
190287,STA
190288,STA
190289,STA
190290,STA
190291,STA
190292,STA
190293,STA
190294,STA
190295,STA
190296,STA
190297,STA
190298,STA
190304,STA
190305,STA
190306,STA
190307,STA
190314,STA
190315,STA
190322,STA
190323,STA
190324,STA
190333,STA
190334,STA
190335,STA
190336,STA
190341,STA
190343,STA
190352,STA
200020,STA
200025,STA
200030,STA
200035,STA
200040,STA
200045,STA
250100,STA
280030,STA
310030,STA
310035,STA
310036,STA
310039,STA
310090,STA
310095,STA
010016,FST
010052,FST
010059,FST
010065HCEVOTX,FST
010068,FST
010073,FST
010076,FST
010090,FST
010116,FST
010162,FST
010164,FST
010165,FST
010168N,FST
010190,FST
010200,FST
010333,FST
010340,FST
010341,FST
010342,FST
010371,FST
010396,FST
010405,FST
010406,FST
010407,FST
010408,FST
010409,FST
010411,FST
010533,FST
010539,FST
012019,FST
012020,FST
012029,FST
012030,FST
012042,FST
012069,FST
012070,FST
012090,FST
012095,FST
020020,FST
020022,FST
020024,FST
020025,FST
020037,FST
020049,FST
020050,FST
020058,FST
020059,FST
020078,FST
020097,FST
022078,FST
027001,FST
027002,FST
030070,FST
030090,FST
030165,FST
040159,FST
040162,FST
040171,FST
040222,FST
040241,FST
040364,FST
040365,FST
040371,FST
040131,FST
040132,FST
040133,FST
040134,FST
050002,FST
050245,FST
050249,FST
050251,FST
050256,FST
050268,FST
050288,FST
050331,FST
050447,FST
050448,FST
050449,FST
050450,FST
050451,FST
050452,FST
050472,FST
050473,FST
050474,FST
060011,FST
180076,FST
180077,FST
190045,FST
190047,FST
190059,FST
190106,FST
190123,FST
190131,FST
190159,FST
190182,FST
190211,FST
190217,FST
190218,FST
190219,FST
190220,FST
190221,FST
190252,FST
190262,FST
190303,FST
190339,FST
190340,FST
190342,FST
190344,FST
301NF41,FST
301NF42,FST
301NF43,FST
301NF201,FST
301NF202,FST
301NF203,FST
310025,FST
310041,FST
310111,FST
401151,FST
401152,FST
401153,FST
401154,FST
BLI251,FST
BLI252,FST
BLI253,FST
BLI254,FST
ECOB251,FST
ECOB252,FST
ECOB253,FST
ECOB254,FST
ECOB255,FST
ECOB71,FST
ECOB72,FST
ECOB73,FST
ECOB74,FST
ECOB75,FST
HLA51,FST
HLA52,FST
HLA53,FST
HLA251,FST
HLA252,FST
HLA253,FST
K40NF41,FST
K40NF42,FST
K40NF43,FST
K40NF44,FST
K40NF201,FST
K40NF202,FST
K40NF203,FST
K40NF204,FST
