product_code,product_name
00190,STRISCIONE IN P.V.C.
00192,MAGLIETTE 100% COTONE
00193,CAPPELLINO 100% COTONE
00194,SERBATOIO AIRJET 50 lt.
00195,ADESIVI PICCOLI
00196,ADESIVI GRANDI
00197,PLANNING
00198,CARTELLI FOREX
00300,UGELLI 5 PZ PER PISTOLA MM/TL
00317,SECCHIO NA
00318,"CIOCCOLATINI KG 2,2"
00319,"CIOCCOLATINI KG 1,7"
00322,SCATOLA C GR.490
00324,SCATOLA C GR. 980
00326,XILOGRAFIA
00328,REGALO TOP
00329,REGALO STANDARD
00330,STRENNA
00331,SCATOLA C GR. 300
010001/A,KIMICOVER GUAINA PARTE A DA KG 12
010001/B,KIMICOVER GUAINA PARTE B GRIGIO DA KG 12
010002/A,KIMICOVER GUAINA PARTE A DA KG 12
010002/B,KIMICOVER GUAINA PARTE B BIANCO DA KG 12
010004,BETONFIX ESPANDO MX da Kg 20
010006/A,BETONFIX AQM GG/ A DA KG 25
010006/B,"BETONFIX AQM GG/ B DA KG 5,5"
010009,BETONFIX ESPANDO da Kg 20
010010,BETONFIX 200 da KG 20
010012,BETONFIX DRY da KG 20
010015,BETONFIX 300 GRIGIO da Kg 20
010016,BETONFIX 300 Bianco da Kg.20
010020,BETONFIX AL da KG 25
010030,BETONFIX FB/FM da Kg 25
010034,BETONFIX CR/FM da Kg 25
010034RPD/FM,BETONFIX CR/RPD/FM da Kg 25
010035,BETONFIX TX da KG 25
010036,BETONFIX TX/GG da KG 25
010037,BETONFIX MONOLITE N da KG 25
010038,BETONFIX MONOLITE R da KG 25
010039,BETONFIX MONOLITE C da KG 25
010040,BETONFIX TX/RPD da KG 25
010041,BETONFIX ETICS GRIGIO da KG 25
010042,BETONFIX FONDO FIBRATO da Kg 25
010045,BETONFIX FB da KG 25
010047,BETONFIX RCA da Kg.25
010049,BETONFIX SB3 da KG 25
010050,BETONFIX WW da KG 5
010051,LIMEPOR TONACHINO 51 KG 15
010052,BETONFIX RR GRIGIO da Kg 25
010055,BETONFIX WW da KG 20
010059,BETONFIX RS BIANCO da KG 25
010061,BETONFIX RS da Kg 25
010062,BETONFIX R30 Grigio da Kg 25
010063,BETONFIX R30 Bianco da Kg 25
010065,BETONFIX CR da KG 25
010065G,BETONFIX CR da KG 25
010065HC,BETONFIX CR/HC da KG 25
010065HCEVO,BETONFIX CR/HC EVO da KG 25
010065HCEVOG,BETONFIX CR/HC EVO da KG 25
010065HCEVOTX,BETONFIX CR/HC/TX EVO da KG 25
010065HCEVOTXG,BETONFIX CR/HC/TX EVO da KG 25
010066,BETONFIX CR/RPD da KG 25
010068,BETONFIX R30 Bianco GG Kg 25
010070,BETONFIX RA da Kg 25
010073,BETONFIX R52 Bianco da Kg 25
010076,BETONFIX R30 Grigio GG. Kg 25
010079,BETONFIX FONDO da Kg 25
010085,BETONFIX DM DA Kg 5
010090,BETONFIX PL da KG. 20
010101,LIMEPOR 100 GEL da Kg 25
010102,LIMEPOR 100 FLP da Kg 25
010105,LIMEPOR MT da Kg 25
010107,LIMEPOR MT/F da KG. 25
010116,BETONFIX PRONTO DA KG 25
010116G,BETONFIX PRONTO DA KG 25
010123,LIMEPOR LGS DA KG 20
010123/B,LIMEPOR NHL/Z DA KG 20
010125,LIMEPOR FN da Kg 25
010126,LIMEPOR EDO da Kg 25
010134,LIMEPOR PLUS da Kg 25
010135,LIMEPOR SK da Kg 20
010135/LR,LIMEPOR SK - da Kg 20
010135B,LIMEPOR SK da Kg 20 impianto B
010136,LIMEPOR IZ 4 da Kg 4
010137,LIMEPOR IZ 8 da Kg 15
010162,KIMITECH BC DA KG 5
010163,KIMITECH BC DA KG 25
010164,KIMITECH AD DA KG 5
010165,KIMITECH AD DA KG 25
010166,BETONFIX 200 TH da Kg 20
010167,BETONFIX KIMIFER SP DA KG 20 IN SACCHI
010168G,LIMEPOR 100 da Kg 25
010168N,LIMEPOR 100 da Kg 25
010169,BETONFIX KIMIFER SP DA KG 5 IN SECCHI
010184,BETONFIX ETICS BIANCO da KG 25
010187,"LIMEPOR EDO 0,3 da Kg 25"
010189,LIMEPOR NHL 3.5 DA KG 25
010190,LIMEPOR NHL/Z FIBRATO KG 20
010194,BETONFIX 300 T01 da Kg 20
010200,LIMEPOR NHL 5 KG 25
010222,TECTORIA BVD da Kg 15
010244/LR,LIMEPOR MONO - da Kg 25
010248,TECTORIA M15/C da Kg 25
010253,TECTORIA DF da Kg 20
010254,TECTORIA TFT da Kg 25
010256,TECTORIA PMP/GF da Kg 25
010259,TECTORIA PMP 140 da Kg 25
010260,TECTORIA PMP 105 da Kg 25
010262N,TECTORIA M15 da Kg 25
010262S,TECTORIA M15 da Kg 25
010266,TECTORIA PMP 102 da Kg 25
010286N,TECTORIA M10 da Kg 25
010287/A,TECTORIA COCCIOFORTE PARTE A DA Kg 4
010287/B,TECTORIA COCCIOFORTE PARTE B DA Kg 1
010287/C,TECTORIA COCCIOFORTE PARTE C 1-3 Kg 25
010288/A,TECTORIA COCCIOFORTE PARTE A DA Kg 20
010288/B,TECTORIA COCCIOFORTE PARTE B  DA Kg 5
010291,BETONFIX FLC da KG 25
010303,TECTORIA PMP T1 da Kg 25
010307,BETONFIX 300 T4 da Kg 20
010309,TECTORIA PMP CIVITAS da Kg 25
010314,BETONFIX R30 GG FIBRATO BIANCO da Kg 25
